Order_ID,SKU,Pick_Zone,Picker_ID,Received_Timestamp,Putaway_Timestamp,Ordered_Qty,Picked_Qty,Pick_Duration_Minutes,Location_Capacity_M3,Occupied_Volume_M3
ORD-10048,SKU-108,Zone_A_HighBay,PKR-06,01-01-2026 18:29,38:29.1,19,19,6,10,6.33
ORD-10049,SKU-125,Zone_A_HighBay,PKR-02,01-01-2026 18:37,13:52.2,18,18,21,10,8.3
ORD-10050,SKU-101,Zone_B_Mezzanine,PKR-08,01-01-2026 18:56,19:25.3,5,5,15,10,7.61
ORD-10051,SKU-119,Zone_B_Mezzanine,PKR-05,01-01-2026 19:06,20:26.5,19,19,12,10,8.27
ORD-10052,SKU-127,Zone_A_HighBay,PKR-07,01-01-2026 19:28,01:25.0,16,16,24,10,6.8
ORD-10053,SKU-146,Zone_A_HighBay,PKR-02,01-01-2026 19:21,40:21.1,1,1,7,10,7.04
ORD-10054,SKU-106,Zone_A_HighBay,PKR-08,01-01-2026 19:50,51:39.7,12,12,16,10,7.07
ORD-10055,SKU-143,Zone_C_Bulk,PKR-02,01-01-2026 19:51,17:01.6,2,2,24,10,6.08
ORD-10056,SKU-107,Zone_A_HighBay,PKR-04,01-01-2026 20:00,22:29.8,8,8,20,10,7.09
ORD-10057,SKU-146,Zone_A_HighBay,PKR-01,01-01-2026 20:31,19:12.0,18,18,18,10,8.57
ORD-10058,SKU-134,Zone_A_HighBay,PKR-05,01-01-2026 20:38,09:50.5,16,16,20,10,8.87
ORD-10059,SKU-113,Zone_A_HighBay,PKR-09,01-01-2026 21:14,25:02.2,5,5,21,10,7.66
ORD-10060,SKU-116,Zone_A_HighBay,PKR-01,01-01-2026 21:20,42:14.5,13,13,15,10,7.46
ORD-10061,SKU-135,Zone_B_Mezzanine,PKR-09,01-01-2026 21:27,56:24.4,19,19,21,10,6.1
ORD-10062,SKU-149,Zone_A_HighBay,PKR-08,01-01-2026 21:50,35:30.4,3,3,23,10,8.81
ORD-10063,SKU-139,Zone_C_Bulk,PKR-06,01-01-2026 22:03,21:52.1,8,8,5,10,6.04
ORD-10064,SKU-103,Zone_A_HighBay,PKR-07,01-01-2026 22:20,55:20.7,12,12,16,10,9.02
ORD-10065,SKU-101,Zone_B_Mezzanine,PKR-03,01-01-2026 22:33,18:16.9,2,2,19,10,7.57
ORD-10066,SKU-105,Zone_C_Bulk,PKR-01,01-01-2026 22:54,11:17.6,11,11,22,10,7.09
ORD-10067,SKU-141,Zone_B_Mezzanine,PKR-05,01-01-2026 23:09,24:24.7,12,12,18,10,8.96
ORD-10068,SKU-103,Zone_B_Mezzanine,PKR-02,01-01-2026 23:21,28:21.1,18,18,5,10,6.08
ORD-10069,SKU-128,Zone_A_HighBay,PKR-05,01-01-2026 23:31,25:57.0,13,13,17,10,7.86
ORD-10070,SKU-117,Zone_A_HighBay,PKR-08,01-01-2026 23:52,52:37.7,5,5,19,10,7.76
ORD-10071,SKU-125,Zone_B_Mezzanine,PKR-09,02-01-2026 00:07,09:27.3,12,12,11,10,6.7
ORD-10072,SKU-143,Zone_C_Bulk,PKR-02,02-01-2026 00:29,39:34.8,2,2,19,10,7.37
ORD-10073,SKU-133,Zone_B_Mezzanine,PKR-03,02-01-2026 00:24,24:10.8,5,5,24,10,8.09
ORD-10074,SKU-109,Zone_B_Mezzanine,PKR-03,02-01-2026 00:39,44:55.0,7,7,14,10,8.33
ORD-10075,SKU-135,Zone_B_Mezzanine,PKR-01,02-01-2026 00:48,02:31.4,12,12,18,10,6
ORD-10076,SKU-113,Zone_A_HighBay,PKR-08,02-01-2026 01:07,10:26.6,16,16,10,10,9
ORD-10077,SKU-130,Zone_A_HighBay,PKR-06,02-01-2026 01:36,56:10.6,8,8,18,10,6.53
ORD-10078,SKU-147,Zone_B_Mezzanine,PKR-08,02-01-2026 01:49,20:53.1,9,9,16,10,6.75
ORD-10079,SKU-114,Zone_C_Bulk,PKR-09,02-01-2026 02:04,24:00.8,15,15,15,10,6.84
ORD-10080,SKU-107,Zone_A_HighBay,PKR-05,02-01-2026 02:17,11:41.9,5,5,24,10,6.12
ORD-10081,SKU-113,Zone_B_Mezzanine,PKR-03,02-01-2026 02:28,33:11.8,13,13,23,10,6.39
ORD-10082,SKU-122,Zone_A_HighBay,PKR-05,02-01-2026 02:47,08:04.7,5,5,6,10,9.16
ORD-10083,SKU-139,Zone_B_Mezzanine,PKR-05,02-01-2026 03:12,38:23.3,11,12,24,10,7.01
ORD-10084,SKU-120,Zone_A_HighBay,PKR-05,02-01-2026 03:13,03:07.1,10,10,5,10,6.37
ORD-10085,SKU-115,Zone_A_HighBay,PKR-03,02-01-2026 03:34,12:36.3,13,13,12,10,6.34
ORD-10086,SKU-144,Zone_B_Mezzanine,PKR-04,02-01-2026 03:50,52:40.7,9,8,18,10,8.3
ORD-10087,SKU-117,Zone_A_HighBay,PKR-09,02-01-2026 04:08,23:27.1,14,14,13,10,8.73
ORD-10088,SKU-146,Zone_B_Mezzanine,PKR-09,02-01-2026 04:14,51:04.6,18,18,6,10,6.82
ORD-10089,SKU-123,Zone_B_Mezzanine,PKR-02,02-01-2026 04:36,32:49.7,15,15,9,10,6.07
ORD-10090,SKU-125,Zone_C_Bulk,PKR-08,02-01-2026 04:59,09:23.1,10,10,12,10,6.71
ORD-10091,SKU-124,Zone_A_HighBay,PKR-08,02-01-2026 04:48,58:32.9,7,7,20,10,6.18
ORD-10092,SKU-144,Zone_A_HighBay,PKR-07,02-01-2026 05:12,24:51.3,8,8,20,10,6.33
ORD-10093,SKU-140,Zone_A_HighBay,PKR-08,02-01-2026 05:41,59:33.8,3,3,17,10,7.38
ORD-10094,SKU-128,Zone_C_Bulk,PKR-03,02-01-2026 05:52,12:36.6,15,15,24,10,6.74
ORD-10095,SKU-114,Zone_C_Bulk,PKR-06,02-01-2026 05:52,37:42.1,16,16,19,10,7.65
ORD-10096,SKU-144,Zone_B_Mezzanine,PKR-01,02-01-2026 06:17,18:37.9,4,4,5,10,6.81
ORD-10097,SKU-100,Zone_C_Bulk,PKR-07,02-01-2026 06:26,32:12.8,6,6,7,10,9.01
ORD-10098,SKU-124,Zone_B_Mezzanine,PKR-01,02-01-2026 06:52,42:27.7,1,1,10,10,8.9
ORD-10099,SKU-106,Zone_B_Mezzanine,PKR-09,02-01-2026 06:58,59:58.6,4,4,18,10,7.81
ORD-10100,SKU-108,Zone_A_HighBay,PKR-01,02-01-2026 07:01,01:53.9,11,11,8,10,7.13
ORD-10101,SKU-123,Zone_B_Mezzanine,PKR-01,02-01-2026 07:32,20:12.5,12,12,22,10,7.22
ORD-10102,SKU-100,Zone_A_HighBay,PKR-07,02-01-2026 07:53,06:55.5,5,5,19,10,7.32
ORD-10103,SKU-143,Zone_C_Bulk,PKR-02,02-01-2026 07:46,29:39.5,16,16,13,10,8.33
ORD-10104,SKU-107,Zone_B_Mezzanine,PKR-05,02-01-2026 08:10,21:14.4,13,13,22,10,7.45
ORD-10105,SKU-123,Zone_B_Mezzanine,PKR-08,02-01-2026 08:23,39:30.6,13,13,7,10,8.74
ORD-10106,SKU-110,Zone_A_HighBay,PKR-08,02-01-2026 08:41,00:25.8,17,17,14,10,9.02
ORD-10107,SKU-116,Zone_A_HighBay,PKR-03,02-01-2026 09:01,07:48.8,7,7,21,10,7.08
ORD-10108,SKU-107,Zone_A_HighBay,PKR-07,02-01-2026 09:14,26:19.1,8,8,11,10,7.79
ORD-10109,SKU-134,Zone_A_HighBay,PKR-03,02-01-2026 09:39,57:18.8,13,13,19,10,6.3
ORD-10110,SKU-134,Zone_A_HighBay,PKR-06,02-01-2026 09:46,23:55.4,16,16,5,10,6.64
ORD-10111,SKU-132,Zone_C_Bulk,PKR-06,02-01-2026 10:10,58:45.5,4,4,15,10,7.32
ORD-10112,SKU-104,Zone_B_Mezzanine,PKR-03,02-01-2026 10:28,33:59.4,8,8,21,10,6.66
ORD-10113,SKU-141,Zone_A_HighBay,PKR-07,02-01-2026 10:40,46:40.2,16,16,9,10,8.8
ORD-10114,SKU-138,Zone_A_HighBay,PKR-03,02-01-2026 10:47,59:20.6,10,10,11,10,6.51
ORD-10115,SKU-140,Zone_A_HighBay,PKR-08,02-01-2026 11:06,35:44.8,12,12,23,10,7.46
ORD-10116,SKU-127,Zone_B_Mezzanine,PKR-04,02-01-2026 11:05,33:54.3,12,12,19,10,7.94
ORD-10117,SKU-106,Zone_B_Mezzanine,PKR-01,02-01-2026 11:31,02:32.8,5,4,7,10,8.21
ORD-10118,SKU-108,Zone_C_Bulk,PKR-04,02-01-2026 11:52,58:11.1,16,16,19,10,7.23
ORD-10119,SKU-107,Zone_A_HighBay,PKR-07,02-01-2026 12:08,49:46.9,1,1,9,10,8.78
ORD-10120,SKU-111,Zone_C_Bulk,PKR-04,02-01-2026 12:17,16:06.3,9,9,16,10,7.82
ORD-10121,SKU-133,Zone_C_Bulk,PKR-06,02-01-2026 12:22,22:45.2,12,12,24,10,7.41
ORD-10122,SKU-132,Zone_A_HighBay,PKR-09,02-01-2026 12:38,37:33.1,5,5,9,10,6.22
ORD-10123,SKU-147,Zone_C_Bulk,PKR-01,02-01-2026 12:50,50:28.7,3,3,7,10,7.49
ORD-10124,SKU-122,Zone_A_HighBay,PKR-05,02-01-2026 13:04,13:33.2,5,5,13,10,8.63
ORD-10125,SKU-123,Zone_C_Bulk,PKR-07,02-01-2026 13:26,31:58.9,2,2,13,10,7.97
ORD-10126,SKU-136,Zone_A_HighBay,PKR-01,02-01-2026 13:54,46:32.1,14,14,11,10,8.66
ORD-10127,SKU-134,Zone_C_Bulk,PKR-04,02-01-2026 14:13,20:39.4,2,2,6,10,7.58
ORD-10128,SKU-143,Zone_C_Bulk,PKR-06,02-01-2026 14:27,13:37.2,13,13,20,10,6.38
ORD-10129,SKU-139,Zone_C_Bulk,PKR-02,02-01-2026 14:25,25:24.2,7,7,13,10,6.04
ORD-10130,SKU-121,Zone_B_Mezzanine,PKR-05,02-01-2026 14:54,00:48.2,10,10,17,10,6.97
ORD-10131,SKU-126,Zone_A_HighBay,PKR-01,02-01-2026 14:45,02:32.9,13,13,23,10,8.23
ORD-10132,SKU-134,Zone_A_HighBay,PKR-06,02-01-2026 15:10,17:29.9,16,16,24,10,8.53
ORD-10133,SKU-100,Zone_A_HighBay,PKR-06,02-01-2026 15:33,41:17.1,14,14,21,10,6.95
ORD-10134,SKU-134,Zone_A_HighBay,PKR-04,02-01-2026 15:38,36:52.3,11,11,10,10,7.59
ORD-10135,SKU-136,Zone_B_Mezzanine,PKR-08,02-01-2026 16:11,03:05.6,10,10,8,10,7.35
ORD-10136,SKU-146,Zone_A_HighBay,PKR-04,02-01-2026 16:01,15:05.0,6,6,5,10,7.31
ORD-10137,SKU-113,Zone_C_Bulk,PKR-08,02-01-2026 16:26,30:28.5,4,4,22,10,6.74
ORD-10138,SKU-102,Zone_B_Mezzanine,PKR-08,02-01-2026 16:33,51:12.2,1,1,23,10,6.44
ORD-10139,SKU-100,Zone_C_Bulk,PKR-05,02-01-2026 16:48,09:44.1,7,7,13,10,6.63
ORD-10140,SKU-104,Zone_A_HighBay,PKR-04,02-01-2026 17:17,55:14.2,9,9,17,10,6.18
ORD-10141,SKU-125,Zone_C_Bulk,PKR-02,02-01-2026 17:29,14:38.1,8,8,12,10,6.63
ORD-10142,SKU-113,Zone_C_Bulk,PKR-03,02-01-2026 17:48,54:55.6,5,5,17,10,6.03
ORD-10143,SKU-138,Zone_A_HighBay,PKR-03,02-01-2026 17:57,31:27.1,19,19,19,10,8.01
ORD-10144,SKU-126,Zone_B_Mezzanine,PKR-04,02-01-2026 18:18,17:21.4,10,10,15,10,7.01
ORD-10145,SKU-108,Zone_B_Mezzanine,PKR-04,02-01-2026 18:31,55:28.5,11,11,16,10,9.11
ORD-10146,SKU-114,Zone_A_HighBay,PKR-05,02-01-2026 18:35,58:45.9,15,15,18,10,6.62
ORD-10147,SKU-114,Zone_B_Mezzanine,PKR-04,02-01-2026 19:00,57:16.4,6,6,8,10,7.11
ORD-10148,SKU-125,Zone_A_HighBay,PKR-08,02-01-2026 19:23,47:15.4,15,15,5,10,7.15
ORD-10149,SKU-141,Zone_A_HighBay,PKR-06,02-01-2026 19:26,28:31.1,5,5,8,10,6.03
ORD-10150,SKU-112,Zone_A_HighBay,PKR-06,02-01-2026 19:48,41:34.6,19,19,23,10,8.69
ORD-10151,SKU-131,Zone_A_HighBay,PKR-08,02-01-2026 19:49,48:34.6,19,19,13,10,6.1
ORD-10152,SKU-138,Zone_A_HighBay,PKR-07,02-01-2026 20:16,26:01.3,10,10,14,10,9.01
ORD-10153,SKU-148,Zone_A_HighBay,PKR-08,02-01-2026 20:40,56:53.7,12,12,8,10,8.85
ORD-10154,SKU-131,Zone_C_Bulk,PKR-02,02-01-2026 20:52,57:48.6,4,4,24,10,7.71
ORD-10155,SKU-103,Zone_B_Mezzanine,PKR-09,02-01-2026 21:10,48:54.7,18,18,13,10,7.74
ORD-10156,SKU-129,Zone_C_Bulk,PKR-01,02-01-2026 21:28,14:43.4,16,16,17,10,8.09
ORD-10157,SKU-136,Zone_A_HighBay,PKR-08,02-01-2026 21:15,53:15.2,8,8,16,10,7.24
ORD-10158,SKU-122,Zone_A_HighBay,PKR-04,02-01-2026 21:57,47:09.6,4,4,15,10,8.07
ORD-10159,SKU-138,Zone_B_Mezzanine,PKR-04,02-01-2026 22:11,11:02.0,12,12,16,10,6.14
ORD-10160,SKU-144,Zone_A_HighBay,PKR-05,02-01-2026 22:24,44:48.8,2,2,22,10,6.17
ORD-10161,SKU-114,Zone_A_HighBay,PKR-08,02-01-2026 22:38,07:16.6,4,4,16,10,7.46
ORD-10162,SKU-142,Zone_B_Mezzanine,PKR-05,02-01-2026 22:52,21:39.3,5,5,20,10,7.76
ORD-10163,SKU-128,Zone_A_HighBay,PKR-08,02-01-2026 22:54,10:02.3,3,3,9,10,8.84
ORD-10164,SKU-135,Zone_B_Mezzanine,PKR-01,02-01-2026 23:14,05:54.2,9,9,24,10,6.33
ORD-10165,SKU-112,Zone_B_Mezzanine,PKR-09,02-01-2026 23:37,54:05.1,18,18,16,10,8.63
ORD-10166,SKU-131,Zone_A_HighBay,PKR-06,02-01-2026 23:50,19:23.9,11,11,15,10,6.67
ORD-10167,SKU-106,Zone_A_HighBay,PKR-03,03-01-2026 00:05,17:36.0,3,3,13,10,7.26
ORD-10168,SKU-121,Zone_B_Mezzanine,PKR-08,03-01-2026 00:10,39:47.2,2,2,22,10,7.01
ORD-10169,SKU-127,Zone_A_HighBay,PKR-09,03-01-2026 00:27,30:37.9,9,9,7,10,7.28
ORD-10170,SKU-101,Zone_A_HighBay,PKR-06,03-01-2026 00:34,45:42.4,14,14,24,10,6.48
ORD-10171,SKU-141,Zone_C_Bulk,PKR-07,03-01-2026 00:45,49:52.6,4,4,21,10,7.61
ORD-10172,SKU-144,Zone_A_HighBay,PKR-01,03-01-2026 01:23,13:57.4,9,9,18,10,8.57
ORD-10173,SKU-105,Zone_B_Mezzanine,PKR-05,03-01-2026 01:26,24:53.4,13,13,5,10,7.41
ORD-10174,SKU-127,Zone_C_Bulk,PKR-05,03-01-2026 01:40,41:17.7,18,18,21,10,7.57
ORD-10175,SKU-127,Zone_A_HighBay,PKR-04,03-01-2026 02:01,57:08.2,15,15,12,10,8.72
ORD-10176,SKU-143,Zone_A_HighBay,PKR-06,03-01-2026 02:03,06:30.3,10,10,9,10,8.26
ORD-10177,SKU-143,Zone_A_HighBay,PKR-07,03-01-2026 02:29,24:45.4,16,16,9,10,7.57
ORD-10178,SKU-119,Zone_A_HighBay,PKR-09,03-01-2026 02:54,50:12.9,12,12,13,10,6.82
ORD-10179,SKU-129,Zone_A_HighBay,PKR-01,03-01-2026 03:14,06:49.5,5,5,7,10,8.83
ORD-10180,SKU-110,Zone_B_Mezzanine,PKR-06,03-01-2026 03:08,37:09.7,2,2,23,10,7.85
ORD-10181,SKU-127,Zone_A_HighBay,PKR-07,03-01-2026 03:35,14:48.4,10,10,13,10,6.71
ORD-10182,SKU-124,Zone_B_Mezzanine,PKR-03,03-01-2026 03:49,24:01.8,1,1,22,10,6.86
ORD-10183,SKU-138,Zone_C_Bulk,PKR-08,03-01-2026 04:03,56:43.0,7,7,20,10,8.57
ORD-10184,SKU-132,Zone_C_Bulk,PKR-05,03-01-2026 04:18,41:37.4,17,17,5,10,6.14
ORD-10185,SKU-100,Zone_B_Mezzanine,PKR-09,03-01-2026 04:26,13:29.5,16,16,6,10,9.17
ORD-10186,SKU-126,Zone_A_HighBay,PKR-05,03-01-2026 04:34,03:36.4,3,3,18,10,6.42
ORD-10187,SKU-112,Zone_B_Mezzanine,PKR-09,03-01-2026 04:54,52:27.3,14,14,18,10,8.55
ORD-10188,SKU-140,Zone_B_Mezzanine,PKR-04,03-01-2026 05:16,20:21.5,10,10,5,10,7.26
ORD-10189,SKU-102,Zone_A_HighBay,PKR-09,03-01-2026 05:19,23:48.1,7,7,20,10,7.58
ORD-10190,SKU-138,Zone_A_HighBay,PKR-05,03-01-2026 05:51,51:43.8,17,17,19,10,8.82
ORD-10191,SKU-105,Zone_C_Bulk,PKR-09,03-01-2026 06:00,33:34.9,6,6,19,10,7.32
ORD-10192,SKU-107,Zone_A_HighBay,PKR-03,03-01-2026 06:06,21:03.7,4,4,16,10,7.72
ORD-10193,SKU-126,Zone_A_HighBay,PKR-04,03-01-2026 06:42,44:10.8,17,17,20,10,6.16
ORD-10194,SKU-108,Zone_A_HighBay,PKR-09,03-01-2026 06:38,36:22.6,9,9,18,10,6.01
ORD-10195,SKU-136,Zone_A_HighBay,PKR-06,03-01-2026 06:47,01:03.5,4,4,19,10,6.78
ORD-10196,SKU-132,Zone_C_Bulk,PKR-02,03-01-2026 07:14,07:56.2,7,7,19,10,8.18
ORD-10197,SKU-141,Zone_B_Mezzanine,PKR-07,03-01-2026 07:30,33:27.8,2,2,23,10,6.39
ORD-10198,SKU-143,Zone_B_Mezzanine,PKR-02,03-01-2026 07:47,47:05.9,17,17,12,10,6.36
ORD-10199,SKU-123,Zone_A_HighBay,PKR-02,03-01-2026 07:58,13:16.5,8,8,6,10,7.32
ORD-10200,SKU-114,Zone_A_HighBay,PKR-01,03-01-2026 08:02,22:14.3,15,15,6,10,8.07
ORD-10201,SKU-131,Zone_A_HighBay,PKR-03,03-01-2026 08:26,28:58.1,15,15,14,10,8.28
ORD-10202,SKU-131,Zone_A_HighBay,PKR-06,03-01-2026 08:38,50:15.2,8,8,7,10,6.57
ORD-10203,SKU-123,Zone_A_HighBay,PKR-08,03-01-2026 09:12,00:14.0,16,16,21,10,6.25
ORD-10204,SKU-140,Zone_B_Mezzanine,PKR-09,03-01-2026 09:06,42:10.2,19,19,12,10,9.01
ORD-10205,SKU-148,Zone_A_HighBay,PKR-07,03-01-2026 09:23,14:32.1,11,11,8,10,6.83
ORD-10206,SKU-148,Zone_B_Mezzanine,PKR-04,03-01-2026 09:42,04:55.1,2,2,18,10,8.73
ORD-10207,SKU-111,Zone_A_HighBay,PKR-06,03-01-2026 10:02,55:21.3,17,17,14,10,8.76
ORD-10208,SKU-138,Zone_A_HighBay,PKR-05,03-01-2026 10:04,08:40.7,16,16,5,10,8.47
ORD-10209,SKU-101,Zone_A_HighBay,PKR-08,03-01-2026 10:27,43:12.0,15,15,8,10,6.54
ORD-10210,SKU-102,Zone_C_Bulk,PKR-01,03-01-2026 10:33,22:13.9,13,13,5,10,8.63
ORD-10211,SKU-148,Zone_C_Bulk,PKR-01,03-01-2026 10:46,05:27.7,15,15,21,10,8.46
ORD-10212,SKU-136,Zone_C_Bulk,PKR-06,03-01-2026 11:15,34:00.7,4,4,21,10,7.91
ORD-10213,SKU-148,Zone_A_HighBay,PKR-02,03-01-2026 11:23,42:44.9,16,16,11,10,7.08
ORD-10214,SKU-116,Zone_A_HighBay,PKR-05,03-01-2026 11:38,44:22.1,12,12,24,10,6.84
ORD-10215,SKU-148,Zone_B_Mezzanine,PKR-01,03-01-2026 11:50,02:14.3,4,4,19,10,6.39
ORD-10216,SKU-101,Zone_A_HighBay,PKR-07,03-01-2026 12:10,12:42.1,3,3,17,10,7.63
ORD-10217,SKU-101,Zone_C_Bulk,PKR-01,03-01-2026 12:36,32:02.2,17,16,6,10,7.87
ORD-10218,SKU-127,Zone_A_HighBay,PKR-04,03-01-2026 12:53,34:51.1,18,18,23,10,7.15
ORD-10219,SKU-122,Zone_A_HighBay,PKR-09,03-01-2026 13:06,11:36.9,18,18,17,10,7.52
ORD-10220,SKU-136,Zone_A_HighBay,PKR-01,03-01-2026 13:00,06:01.9,17,17,15,10,7.16
ORD-10221,SKU-131,Zone_A_HighBay,PKR-04,03-01-2026 13:18,31:31.7,12,12,19,10,8.05
ORD-10222,SKU-132,Zone_B_Mezzanine,PKR-06,03-01-2026 13:42,06:25.0,4,4,14,10,8.88
ORD-10223,SKU-100,Zone_A_HighBay,PKR-06,03-01-2026 14:07,16:24.5,12,12,13,10,6.52
ORD-10224,SKU-118,Zone_A_HighBay,PKR-08,03-01-2026 14:12,49:56.6,15,15,13,10,7.22
ORD-10225,SKU-101,Zone_A_HighBay,PKR-01,03-01-2026 14:27,09:13.2,16,16,24,10,6.45
ORD-10226,SKU-143,Zone_A_HighBay,PKR-07,03-01-2026 14:31,40:05.3,5,5,5,10,8
ORD-10227,SKU-125,Zone_B_Mezzanine,PKR-01,03-01-2026 14:53,06:15.3,15,15,21,10,8.33
ORD-10228,SKU-131,Zone_C_Bulk,PKR-07,03-01-2026 15:23,31:20.2,17,17,16,10,8.98
ORD-10229,SKU-105,Zone_C_Bulk,PKR-03,03-01-2026 15:22,01:34.6,18,18,14,10,6.89
ORD-10230,SKU-131,Zone_B_Mezzanine,PKR-08,03-01-2026 15:36,47:50.8,5,5,9,10,9.04
